ID	Stream	Lat	Lon	Elev	Sub	Well	N	logN	logNcen	logNcen2	P	date_begin	date_end	HerbBA	HerbBSub	Cover	Light	Vx	Width	R	NPP	Chl	logChl	GPP	AmbNH4	AmbNO3	AmbPO4	SR	AbunR	ER1	HR1	SA	AbunA	EA1	HA1
AD	Adobe Creek	37.91805	118.69375	2001	21	1	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/26/06	9/6/06	0.0000	0.0041	0.92 	17	0.35	1.3	0.0141	-0.0030	0.0094	-2.0256	0.0111	4.680	1.630	1.260	105	347287	0.68	2.87	26	156063	0.55	1.80
AD	Adobe Creek	37.91805	118.69375	2001	21	5	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/26/06	9/6/06	0.0000	0.0041	0.92 	11	0.35	1.3	0.0159	-0.0027	0.0100	-2.0000	0.0132	4.680	1.630	1.260	105	347287	0.68	2.87	24	303194	0.63	2.00
AD	Adobe Creek	37.91805	118.69375	2001	21	3	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/26/06	9/6/06	0.0000	0.0041	0.92 	13	0.35	1.3	0.0143	-0.0039	0.0613	-1.2127	0.0120	4.680	1.630	1.260	105	347287	0.68	2.87	20	161155	0.39	1.17
AD	Adobe Creek	37.91805	118.69375	2001	21	4	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/26/06	9/6/06	0.0000	0.0041	0.92 	12	0.35	1.3	0.0151	0.0032	0.1003	-0.9987	0.0184	4.680	1.630	1.260	105	347287	0.68	2.87	23	1244602	0.37	1.15
AD	Adobe Creek	37.91805	118.69375	2001	21	2	1.00E+00	0.00	3.54	12.52	6.25E-02	7/26/06	9/6/06	0.0000	0.0041	0.92 	14	0.35	1.3	0.0189	0.0007	0.2000	-0.6990	0.0196	4.680	1.630	1.260	105	347287	0.68	2.87	20	4098103	0.32	0.97
AD	Adobe Creek	37.91805	118.69375	2001	31	1	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/26/06	9/6/06	0.0000	0.0041	0.90 	24	0.22	1.3	0.0199	0.0033	0.0377	-1.4236	0.0131	4.680	1.630	1.260	105	347287	0.68	2.87	21	617205	0.36	1.11
AD	Adobe Creek	37.91805	118.69375	2001	31	5	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/26/06	9/6/06	0.0051	0.0041	0.90 	17	0.22	1.3	0.0163	0.0000	0.0094	-2.0256	0.0100	4.680	1.630	1.260	105	347287	0.68	2.87	37	1079641	0.38	1.37
AD	Adobe Creek	37.91805	118.69375	2001	31	3	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/26/06	9/6/06	0.0000	0.0041	0.90 	21	0.22	1.3	0.0150	-0.0003	0.0330	-1.4816	0.0146	4.680	1.630	1.260	105	347287	0.68	2.87	29	1019758	0.27	0.92
AD	Adobe Creek	37.91805	118.69375	2001	31	2	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/26/06	9/6/06	0.0000	0.0041	0.90 	21	0.22	1.3	0.0163	-0.0009	0.6080	-0.2161	0.0154	4.680	1.630	1.260	105	347287	0.68	2.87	24	1616573	0.24	0.76
AD	Adobe Creek	37.91805	118.69375	2001	31	4	1.00E+00	0.00	3.54	12.52	6.25E-02	7/26/06	9/6/06	0.0000	0.0041	0.90 	18	0.22	1.3	0.0155	0.0036	0.9144	-0.0389	0.0192	4.680	1.630	1.260	105	347287	0.68	2.87	18	2542682	0.23	0.68
